SJC, LAX, LHR, KIX, DFW

3232235777
128.0.0.0
2889875456 524288
172.64.174.0 	 colo=SJC
172.64.174.64 	 colo=SJC
172.64.174.128 	 colo=LAX
172.64.175.0 	 colo=SJC
172.64.174.192 	 colo=LAX
172.64.175.128 	 colo=SJC
172.64.175.64 	 colo=SJC
172.64.175.192 	 colo=SJC
172.64.176.0 	 colo=DFW
172.64.176.192 	 colo=DFW
172.64.176.128 	 colo=DFW
172.64.177.0 	 colo=DFW
172.64.177.64 	 colo=DFW
172.64.176.64 	 colo=DFW
172.64.177.192 	 colo=DFW
172.64.177.128 	 colo=DFW
172.64.178.0 	 colo=DFW
172.64.178.192 	 colo=DFW
172.64.179.128 	 colo=DFW
172.64.178.64 	 colo=DFW
172.64.178.128 	 colo=DFW
172.64.179.0 	 colo=DFW
172.64.180.64 	 colo=DFW
172.64.180.0 	 colo=DFW
172.64.179.192 	 colo=DFW
172.64.179.64 	 colo=DFW
172.64.180.128 	 colo=DFW
172.64.180.192 	 colo=DFW
172.64.181.0 	 colo=DFW
172.64.181.64 	 colo=DFW
172.64.182.64 	 colo=DFW
172.64.182.128 	 colo=DFW
172.64.181.128 	 colo=DFW
172.64.181.192 	 colo=DFW
172.64.182.192 	 colo=DFW
172.64.183.0 	 colo=DFW
172.64.182.0 	 colo=DFW
172.64.183.64 	 colo=DFW
172.64.183.128 	 colo=DFW
172.64.183.192 	 colo=DFW
172.64.185.0 	 colo=DFW
172.64.185.64 	 colo=DFW
172.64.184.0 	 colo=DFW
172.64.184.64 	 colo=DFW
172.64.184.192 	 colo=DFW
172.64.184.128 	 colo=DFW
172.64.185.192 	 colo=DFW
172.64.185.128 	 colo=DFW
172.64.186.0 	 colo=DFW
172.64.186.192 	 colo=DFW
172.64.186.128 	 colo=DFW
172.64.187.192 	 colo=DFW
172.64.187.0 	 colo=DFW
172.64.187.64 	 colo=DFW
172.64.188.0 	 colo=DFW
172.64.187.128 	 colo=DFW
172.64.188.64 	 colo=DFW
172.64.188.128 	 colo=DFW
172.64.189.64 	 colo=DFW
172.64.188.192 	 colo=DFW
172.64.189.0 	 colo=DFW
172.64.189.128 	 colo=DFW
172.64.189.192 	 colo=DFW
172.64.190.192 	 colo=DFW
172.64.190.128 	 colo=DFW
172.64.191.0 	 colo=DFW
172.64.190.0 	 colo=DFW
172.64.190.64 	 colo=DFW
172.64.191.128 	 colo=DFW
172.64.191.64 	 colo=DFW
172.64.191.192 	 colo=DFW
172.64.192.128 	 colo=LAX
172.64.192.0 	 colo=SJC
172.64.193.64 	 colo=LAX
172.64.192.192 	 colo=LAX
172.64.193.128 	 colo=SJC
172.64.192.64 	 colo=LAX
172.64.194.0 	 colo=SJC
172.64.193.0 	 colo=LAX
172.64.193.192 	 colo=LAX
172.64.194.128 	 colo=LAX
172.64.195.64 	 colo=SJC
172.64.194.64 	 colo=LAX
172.64.194.192 	 colo=LAX
172.64.195.0 	 colo=SJC
172.64.195.128 	 colo=LAX
172.64.196.0 	 colo=LAX
172.64.195.192 	 colo=SJC
172.64.196.64 	 colo=LAX
172.64.196.128 	 colo=LAX
172.64.186.64 	 colo=DFW
172.64.197.0 	 colo=LAX
172.64.196.192 	 colo=SJC
172.64.197.64 	 colo=LAX
172.64.198.0 	 colo=SJC
172.64.198.64 	 colo=SJC
172.64.198.192 	 colo=LAX
172.64.198.128 	 colo=LAX
172.64.199.0 	 colo=LAX
172.64.199.64 	 colo=LAX
172.64.197.192 	 colo=LAX
172.64.199.128 	 colo=LAX
172.64.197.128 	 colo=LAX
172.64.199.192 	 colo=SJC
172.64.200.0 	 colo=SJC
172.64.200.64 	 colo=LAX
172.64.200.192 	 colo=SJC
172.64.201.64 	 colo=LAX
172.64.201.192 	 colo=LAX
172.64.201.128 	 colo=LAX
172.64.200.128 	 colo=LAX
172.64.201.0 	 colo=LAX
172.64.202.0 	 colo=SJC
172.64.202.64 	 colo=LAX
172.64.203.0 	 colo=LAX
172.64.202.192 	 colo=LAX
172.64.202.128 	 colo=LAX
172.64.204.0 	 colo=LAX
172.64.203.64 	 colo=SJC
172.64.203.192 	 colo=SJC
172.64.203.128 	 colo=LAX
172.64.204.128 	 colo=LAX
172.64.204.64 	 colo=LAX
172.64.204.192 	 colo=SJC
172.64.205.64 	 colo=SJC
172.64.205.192 	 colo=SJC
172.64.205.0 	 colo=SJC
172.64.206.0 	 colo=SJC
172.64.206.192 	 colo=LAX
172.64.206.64 	 colo=SJC
172.64.207.0 	 colo=LAX
172.64.206.128 	 colo=LAX
172.64.207.128 	 colo=SJC
172.64.207.64 	 colo=LAX
172.64.207.192 	 colo=LAX
172.64.208.0 	 colo=DFW
